iter	RMSE
0	318.0504159
1	310.2330405
2	302.7339989
3	295.4808993
4	288.2921671
5	281.538748
6	274.9158481
7	268.3740876
8	262.3868088
9	256.4164828
10	250.7489351
11	245.389107
12	240.2390257
13	234.9621476
14	230.1223019
15	225.2163269
16	220.4397633
17	215.875753
18	211.4167739
19	207.3211501
20	203.2096997
21	199.2142871
22	195.3962999
23	191.7146451
24	188.1878693
25	184.6993804
26	181.5091468
27	178.4110443
28	175.4278784
29	172.4482829
30	169.7281684
31	166.9910492
32	164.3993006
33	161.9170037
34	159.5665662
35	157.3787269
36	155.1291007
37	152.9242529
38	150.8899553
39	148.9544892
40	147.054829
41	145.252944
42	143.5345763
43	141.8649304
44	140.3199794
45	138.7743586
46	137.2714667
47	135.8466424
48	134.558904
49	133.2745523
50	132.0591557
51	130.9306449
52	129.8095545
53	128.7822377
54	127.8346358
55	126.8158604
56	125.8380111
57	124.9221289
58	124.0780927
59	123.0873583
60	122.2069257
61	121.3482703
62	120.4181546
63	119.6017144
64	118.8836578
65	118.243318
66	117.5856617
67	116.9714525
68	116.4195966
69	115.8214046
70	115.1424702
71	114.5656987
72	114.1227025
73	113.6291051
74	113.1317407
75	112.6944696
76	112.2752479
77	111.8608115
78	111.4464929
79	111.0463171
80	110.6044526
81	110.2707318
82	109.757279
83	109.2221434
84	108.7699617
85	108.4859872
86	108.1662391
87	107.8819898
88	107.5749475
89	107.3015255
90	107.0708178
91	106.7983802
92	106.5616988
93	106.3374765
94	106.088805
95	105.8436825
96	105.5374189
97	105.3222504
98	105.0914785
99	104.9077248
100	104.712805
101	104.5467211
102	104.334371
103	104.168723
104	103.9298109
105	103.7764333
106	103.5787732
107	103.2940763
108	103.0852714
109	102.9848252
110	102.8010444
111	102.6477345
112	102.5329367
113	102.3792549
114	102.1827509
115	102.0259567
116	101.9149358
117	101.7960057
118	101.5868824
119	101.438307
120	101.3055589
121	101.0216236
122	100.8943216
123	100.7982575
124	100.6061832
125	100.4423933
126	100.2840801
127	100.1157046
128	100.0354551
129	99.92402923
130	99.81699741
131	99.67732678
132	99.52480424
133	99.46092062
134	99.35486363
135	99.27020281
136	99.13775823
137	99.04743504
138	98.97289162
139	98.88339998
140	98.77673421
141	98.47333933
142	98.39252705
143	98.30792847
144	98.17775645
145	98.09795366
146	98.00435722
147	97.93815339
148	97.82247256
149	97.72503486
150	97.53728523
151	97.47267596
152	97.35220326
153	97.28982092
154	97.16517768
155	97.10081531
156	97.04283718
157	96.97094015
158	96.89061594
159	96.77248835
160	96.69685319
161	96.63124544
162	96.57435992
163	96.47980921
164	96.41708545
165	96.30571864
166	96.23158336
167	96.15527516
168	96.09220449
169	96.04213004
170	95.99604523
171	95.95874558
172	95.90200943
173	95.83262158
174	95.79398526
175	95.74907561
176	95.53801715
177	95.34785147
178	95.29331005
179	95.19732741
180	95.15646586
181	95.03892004
182	94.90922228
183	94.81050908
184	94.73734467
185	94.64229978
186	94.60996003
187	94.51767517
188	94.39185766
189	94.32847338
190	94.26441312
191	94.15930674
192	94.09664191
193	94.02890012
194	93.96550738
195	93.93904961
196	93.90250469
197	93.81861516
198	93.74468748
199	93.69199036
200	93.60382602
201	93.55953405
202	93.51522624
203	93.4553526
204	93.37590943
205	93.33424977
206	93.29112628
207	93.25110351
208	93.20531154
209	93.13638625
210	93.11523901
211	93.07260941
212	92.96615556
213	92.91227853
214	92.83136872
215	92.70748019
216	92.6597132
217	92.60362189
218	92.49663141
219	92.41649175
220	92.35060407
221	92.27950577
222	92.25345595
223	92.2361127
224	92.18225337
225	92.13129816
226	92.09214966
227	92.01972241
228	91.96815383
229	91.91850626
230	91.7854505
231	91.72893443
232	91.57085925
233	91.54325143
234	91.49634811
235	91.41761165
236	91.34855933
237	91.30977171
238	91.17024992
239	91.11814502
240	91.06436056
241	90.99881349
242	90.93149529
243	90.87166821
244	90.79347819
245	90.75597464
246	90.71496007
247	90.67377185
248	90.62667091
249	90.56316571
250	90.5183135
251	90.47859605
252	90.45235357
253	90.39129425
254	90.30781351
255	90.25382309
256	90.19603406
257	90.1159844
258	90.07212442
259	90.02145195
260	90.00016667
261	89.91888323
262	89.89912172
263	89.85914334
264	89.81380404
265	89.76632344
266	89.68290596
267	89.64079207
268	89.55597687
269	89.52607153
270	89.47916779
271	89.45444473
272	89.42555924
273	89.3884634
274	89.34922414
275	89.30993762
276	89.26927431
277	89.19834529
278	89.15960128
279	89.10721602
280	89.07391444
281	89.03516824
282	88.96907008
283	88.93684688
284	88.912929
285	88.8893147
286	88.83425117
287	88.81791379
288	88.77753468
289	88.74328765
290	88.66326487
291	88.64213936
292	88.60222044
293	88.58133313
294	88.52425166
295	88.47707708
296	88.44632102
297	88.40773473
298	88.38438448
299	88.34071806
