iter	Passed	Remaining
0	56	56228
1	57	28847
2	59	19835
3	62	15443
4	64	12819
5	68	11273
6	69	9883
7	71	8828
8	72	8013
9	74	7417
10	76	6881
11	78	6438
12	79	6060
13	81	5731
14	84	5534
15	85	5278
16	87	5054
17	89	4860
18	90	4695
19	93	4560
20	94	4423
21	97	4332
22	99	4232
23	106	4318
24	108	4235
25	110	4134
26	115	4164
27	119	4137
28	122	4115
29	124	4032
30	126	3948
31	127	3869
32	131	3867
33	134	3829
34	136	3775
35	138	3714
36	140	3653
37	143	3637
38	147	3625
39	151	3636
40	155	3631
41	159	3635
42	161	3585
43	165	3597
44	167	3562
45	170	3527
46	172	3491
47	174	3466
48	190	3700
49	192	3653
50	193	3608
51	195	3565
52	210	3765
53	212	3724
54	226	3890
55	227	3842
56	229	3797
57	231	3752
58	232	3709
59	246	3867
60	248	3824
61	262	3976
62	264	3934
63	278	4071
64	280	4028
65	281	3987
66	283	3948
67	285	3912
68	287	3878
69	296	3938
70	298	3910
71	305	3941
72	311	3956
73	320	4005
74	322	3972
75	325	3956
76	328	3942
77	333	3944
78	338	3950
79	340	3915
80	346	3936
81	350	3921
82	351	3888
83	358	3908
84	368	3968
85	379	4037
86	381	4004
87	383	3971
88	388	3978
89	394	3990
90	398	3980
91	405	4002
92	409	3997
93	416	4016
94	425	4050
95	426	4018
96	432	4021
97	433	3990
98	435	3960
99	437	3935
100	438	3905
101	440	3881
102	442	3852
103	446	3843
104	448	3819
105	449	3794
106	452	3774
107	454	3752
108	462	3777
109	464	3755
110	465	3730
111	468	3718
112	470	3694
113	475	3693
114	477	3676
115	479	3653
116	483	3652
117	485	3629
118	487	3606
119	488	3584
120	491	3570
121	493	3552
122	497	3546
123	507	3587
124	512	3585
125	514	3569
126	522	3592
127	524	3571
128	528	3565
129	529	3546
130	531	3524
131	532	3504
132	534	3483
133	535	3462
134	538	3447
135	539	3427
136	541	3409
137	542	3389
138	544	3371
139	547	3360
140	549	3344
141	550	3327
142	552	3309
143	555	3300
144	556	3282
145	558	3265
146	560	3253
147	562	3235
148	563	3219
149	565	3202
150	566	3186
151	569	3179
152	573	3174
153	577	3170
154	580	3166
155	585	3166
156	589	3167
157	597	3181
158	599	3168
159	603	3167
160	605	3154
161	606	3139
162	608	3125
163	610	3113
164	612	3099
165	614	3084
166	617	3078
167	622	3080
168	625	3073
169	626	3060
170	629	3050
171	631	3039
172	633	3026
173	637	3025
174	639	3015
175	641	3001
176	642	2989
177	644	2975
178	645	2962
179	647	2950
180	652	2950
181	656	2950
182	658	2940
183	661	2933
184	666	2937
185	668	2925
186	669	2912
187	671	2900
188	673	2888
189	674	2875
190	675	2863
191	677	2851
192	679	2842
193	681	2829
194	682	2818
195	684	2806
196	685	2794
197	687	2783
198	688	2771
199	690	2760
200	691	2749
201	694	2744
202	696	2732
203	697	2721
204	698	2710
205	700	2700
206	702	2690
207	703	2679
208	705	2669
209	706	2658
210	708	2648
211	710	2642
212	712	2631
213	713	2621
214	715	2611
215	717	2603
216	720	2599
217	722	2590
218	726	2592
219	728	2582
220	729	2572
221	731	2563
222	733	2554
223	734	2544
224	736	2535
225	738	2528
226	739	2519
227	743	2517
228	745	2509
229	746	2500
230	748	2491
231	749	2482
232	751	2473
233	754	2469
234	757	2466
235	759	2458
236	760	2449
237	762	2441
238	764	2432
239	765	2424
240	767	2416
241	768	2408
242	770	2399
243	772	2394
244	774	2387
245	776	2379
246	777	2371
247	779	2362
248	780	2354
249	782	2346
250	783	2338
251	785	2330
252	786	2322
253	789	2319
254	791	2312
255	793	2304
256	795	2298
257	796	2291
258	798	2284
259	799	2276
260	801	2269
261	804	2266
262	806	2259
263	807	2251
264	809	2244
265	810	2236
266	812	2229
267	813	2222
268	815	2215
269	816	2208
270	819	2205
271	821	2198
272	823	2191
273	824	2184
274	826	2178
275	830	2178
276	833	2174
277	837	2173
278	838	2166
279	840	2161
280	845	2162
281	847	2156
282	849	2151
283	851	2145
284	852	2139
285	854	2132
286	855	2126
287	857	2121
288	860	2118
289	865	2118
290	867	2113
291	870	2111
292	872	2105
293	874	2098
294	875	2092
295	877	2086
296	878	2079
297	880	2073
298	882	2069
299	884	2063
300	886	2058
301	887	2052
302	889	2047
303	891	2041
304	893	2035
305	894	2029
306	896	2023
307	898	2018
308	900	2012
309	901	2007
310	903	2001
311	905	1995
312	906	1989
313	908	1983
314	909	1978
315	911	1972
316	915	1973
317	917	1967
318	918	1961
319	920	1955
320	922	1950
321	923	1945
322	927	1944
323	931	1943
324	933	1937
325	934	1932
326	936	1927
327	937	1921
328	939	1916
329	940	1910
330	942	1905
331	944	1900
332	946	1895
333	948	1890
334	949	1884
335	950	1879
336	952	1873
337	953	1868
338	955	1863
339	957	1857
340	960	1856
341	961	1850
342	964	1846
343	965	1841
344	966	1835
345	968	1830
346	969	1825
347	971	1819
348	972	1814
349	975	1811
350	976	1806
351	978	1802
352	980	1797
353	982	1792
354	983	1787
355	985	1783
356	987	1778
357	988	1773
358	990	1768
359	992	1763
360	995	1761
361	996	1756
362	998	1752
363	1000	1747
364	1001	1742
365	1005	1741
366	1008	1739
367	1009	1734
368	1011	1729
369	1012	1724
370	1014	1720
371	1016	1715
372	1019	1714
373	1022	1712
374	1024	1707
375	1025	1702
376	1027	1697
377	1029	1693
378	1030	1688
379	1032	1684
380	1033	1679
381	1035	1675
382	1039	1674
383	1040	1669
384	1042	1664
385	1043	1660
386	1045	1655
387	1046	1650
388	1048	1646
389	1049	1641
390	1051	1637
391	1056	1638
392	1057	1634
393	1059	1629
394	1062	1627
395	1064	1623
396	1069	1623
397	1070	1619
398	1072	1615
399	1074	1611
400	1075	1606
401	1078	1603
402	1079	1599
403	1081	1594
404	1084	1593
405	1090	1595
406	1093	1592
407	1094	1588
408	1099	1588
409	1105	1590
410	1107	1586
411	1108	1582
412	1110	1578
413	1112	1574
414	1117	1574
415	1118	1570
416	1120	1566
417	1125	1566
418	1127	1562
419	1128	1558
420	1133	1558
421	1134	1553
422	1136	1549
423	1137	1545
424	1139	1541
425	1140	1537
426	1142	1532
427	1144	1528
428	1146	1525
429	1148	1522
430	1149	1517
431	1151	1513
432	1152	1509
433	1154	1505
434	1155	1501
435	1157	1497
436	1159	1493
437	1162	1491
438	1164	1487
439	1167	1485
440	1168	1481
441	1170	1477
442	1171	1473
443	1173	1469
444	1174	1465
445	1177	1462
446	1179	1459
447	1181	1455
448	1182	1451
449	1184	1447
450	1186	1443
451	1188	1440
452	1189	1436
453	1191	1432
454	1193	1429
455	1195	1426
456	1197	1422
457	1199	1419
458	1200	1415
459	1202	1412
460	1207	1411
461	1209	1408
462	1211	1404
463	1213	1401
464	1215	1398
465	1217	1394
466	1219	1391
467	1223	1390
468	1224	1386
469	1226	1383
470	1228	1379
471	1229	1375
472	1231	1372
473	1233	1368
474	1234	1364
475	1236	1360
476	1237	1357
477	1239	1353
478	1241	1350
479	1243	1346
480	1244	1343
481	1247	1340
482	1249	1336
483	1250	1333
484	1252	1330
485	1254	1326
486	1257	1324
487	1260	1322
488	1262	1318
489	1264	1315
490	1269	1316
491	1272	1314
492	1275	1312
493	1279	1310
494	1284	1310
495	1288	1308
496	1291	1307
497	1293	1303
498	1295	1300
499	1298	1298
500	1300	1295
501	1302	1291
502	1304	1288
503	1305	1285
504	1307	1281
505	1309	1278
506	1311	1275
507	1314	1272
508	1315	1269
509	1317	1265
510	1319	1262
511	1321	1259
512	1323	1256
513	1324	1252
514	1326	1249
515	1328	1246
516	1330	1243
517	1332	1239
518	1334	1237
519	1337	1234
520	1341	1232
521	1342	1229
522	1344	1226
523	1346	1223
524	1349	1220
525	1350	1217
526	1352	1213
527	1354	1210
528	1355	1207
529	1357	1203
530	1360	1201
531	1362	1198
532	1364	1195
533	1365	1191
534	1367	1188
535	1370	1186
536	1372	1183
537	1374	1180
538	1376	1177
539	1378	1174
540	1379	1170
541	1381	1167
542	1382	1163
543	1384	1160
544	1386	1157
545	1387	1154
546	1389	1150
547	1392	1148
548	1394	1145
549	1396	1142
550	1397	1138
551	1401	1137
552	1403	1134
553	1405	1131
554	1409	1130
555	1411	1126
556	1412	1123
557	1414	1120
558	1415	1117
559	1417	1113
560	1418	1110
561	1420	1106
562	1422	1104
563	1424	1101
564	1425	1097
565	1427	1094
566	1429	1091
567	1430	1088
568	1432	1084
569	1433	1081
570	1435	1078
571	1436	1075
572	1438	1072
573	1440	1069
574	1441	1065
575	1443	1062
576	1445	1059
577	1447	1056
578	1448	1053
579	1450	1050
580	1451	1046
581	1454	1044
582	1456	1041
583	1464	1043
584	1466	1040
585	1468	1037
586	1470	1034
587	1472	1031
588	1474	1028
589	1476	1025
590	1477	1022
591	1479	1019
592	1481	1016
593	1482	1013
594	1484	1010
595	1486	1007
596	1488	1005
597	1490	1001
598	1492	998
599	1493	995
600	1495	992
601	1496	989
602	1498	986
603	1502	985
604	1505	982
605	1507	979
606	1508	976
607	1510	973
608	1511	970
609	1513	967
610	1514	964
611	1517	961
612	1519	958
613	1522	957
614	1524	954
615	1526	951
616	1528	948
617	1530	945
618	1532	943
619	1534	940
620	1536	937
621	1537	934
622	1539	931
623	1541	928
624	1542	925
625	1544	922
626	1545	919
627	1547	916
628	1549	913
629	1551	910
630	1552	907
631	1554	904
632	1556	902
633	1557	899
634	1559	896
635	1561	893
636	1563	891
637	1565	888
638	1567	885
639	1568	882
640	1570	879
641	1571	876
642	1573	873
643	1576	871
644	1577	868
645	1580	866
646	1585	865
647	1589	863
648	1593	861
649	1595	859
650	1597	856
651	1598	853
652	1601	851
653	1604	848
654	1606	845
655	1607	843
656	1609	840
657	1611	837
658	1613	834
659	1615	832
660	1616	829
661	1618	826
662	1620	823
663	1621	820
664	1623	817
665	1624	814
666	1628	812
667	1629	809
668	1631	806
669	1632	804
670	1633	801
671	1635	798
672	1637	795
673	1638	792
674	1640	790
675	1644	788
676	1646	785
677	1648	782
678	1650	780
679	1651	777
680	1654	774
681	1655	772
682	1658	769
683	1660	767
684	1661	764
685	1663	761
686	1664	758
687	1666	755
688	1670	754
689	1672	751
690	1674	748
691	1675	745
692	1677	743
693	1680	741
694	1682	738
695	1683	735
696	1685	732
697	1686	729
698	1689	727
699	1690	724
700	1693	722
701	1694	719
702	1696	716
703	1697	713
704	1699	711
705	1700	708
706	1702	705
707	1704	702
708	1706	700
709	1707	697
710	1709	694
711	1710	692
712	1712	689
713	1713	686
714	1715	683
715	1716	681
716	1719	678
717	1722	676
718	1725	674
719	1729	672
720	1732	670
721	1733	667
722	1735	664
723	1736	662
724	1740	660
725	1743	657
726	1744	655
727	1746	652
728	1749	650
729	1751	647
730	1753	645
731	1754	642
732	1756	639
733	1757	637
734	1759	634
735	1761	631
736	1763	629
737	1764	626
738	1767	624
739	1769	621
740	1770	618
741	1772	616
742	1773	613
743	1775	610
744	1777	608
745	1778	605
746	1780	602
747	1783	600
748	1785	598
749	1786	595
750	1788	592
751	1789	590
752	1791	587
753	1792	584
754	1794	582
755	1795	579
756	1798	577
757	1800	574
758	1801	572
759	1803	569
760	1805	566
761	1806	564
762	1808	561
763	1809	558
764	1811	556
765	1813	554
766	1815	551
767	1816	548
768	1818	546
769	1819	543
770	1821	540
771	1822	538
772	1824	535
773	1826	533
774	1832	532
775	1836	530
776	1838	527
777	1840	525
778	1844	523
779	1847	520
780	1851	519
781	1853	516
782	1857	514
783	1860	512
784	1862	510
785	1864	507
786	1865	505
787	1867	502
788	1868	499
789	1870	497
790	1872	494
791	1873	492
792	1876	489
793	1877	487
794	1879	484
795	1880	481
796	1882	479
797	1883	476
798	1885	474
799	1887	471
800	1889	469
801	1890	466
802	1892	464
803	1894	461
804	1895	459
805	1897	456
806	1898	454
807	1900	451
808	1902	449
809	1903	446
810	1906	444
811	1908	441
812	1910	439
813	1911	436
814	1913	434
815	1914	431
816	1916	429
817	1917	426
818	1919	424
819	1921	421
820	1923	419
821	1924	416
822	1926	414
823	1927	411
824	1929	409
825	1931	406
826	1932	404
827	1934	401
828	1935	399
829	1938	396
830	1939	394
831	1941	391
832	1942	389
833	1944	386
834	1948	384
835	1949	382
836	1951	379
837	1953	377
838	1955	375
839	1957	372
840	1970	372
841	1972	370
842	1987	370
843	1988	367
844	2001	367
845	2003	364
846	2005	362
847	2007	359
848	2009	357
849	2017	356
850	2021	353
851	2024	351
852	2025	349
853	2037	348
854	2039	345
855	2041	343
856	2042	340
857	2044	338
858	2046	335
859	2047	333
860	2049	330
861	2051	328
862	2052	325
863	2054	323
864	2055	320
865	2058	318
866	2060	316
867	2061	313
868	2063	311
869	2064	308
870	2066	306
871	2067	303
872	2069	301
873	2072	298
874	2074	296
875	2075	293
876	2077	291
877	2079	288
878	2080	286
879	2082	283
880	2083	281
881	2085	279
882	2088	276
883	2089	274
884	2091	271
885	2092	269
886	2094	266
887	2096	264
888	2097	261
889	2099	259
890	2100	257
891	2103	254
892	2105	252
893	2107	249
894	2108	247
895	2110	244
896	2111	242
897	2113	240
898	2115	237
899	2116	235
900	2119	232
901	2121	230
902	2123	228
903	2124	225
904	2126	223
905	2127	220
906	2129	218
907	2130	215
908	2133	213
909	2136	211
910	2137	208
911	2139	206
912	2140	203
913	2142	201
914	2143	199
915	2145	196
916	2146	194
917	2148	191
918	2150	189
919	2152	187
920	2154	184
921	2155	182
922	2157	179
923	2158	177
924	2160	175
925	2161	172
926	2163	170
927	2165	167
928	2167	165
929	2169	163
930	2171	160
931	2172	158
932	2174	156
933	2175	153
934	2177	151
935	2178	148
936	2182	146
937	2183	144
938	2185	141
939	2186	139
940	2188	137
941	2190	134
942	2191	132
943	2193	130
944	2195	127
945	2198	125
946	2199	123
947	2201	120
948	2202	118
949	2204	116
950	2206	113
951	2207	111
952	2209	108
953	2211	106
954	2212	104
955	2214	101
956	2215	99
957	2217	97
958	2218	94
959	2220	92
960	2221	90
961	2223	87
962	2224	85
963	2226	83
964	2229	80
965	2230	78
966	2232	76
967	2233	73
968	2235	71
969	2237	69
970	2238	66
971	2240	64
972	2241	62
973	2243	59
974	2245	57
975	2246	55
976	2248	52
977	2251	50
978	2253	48
979	2255	46
980	2256	43
981	2258	41
982	2259	39
983	2261	36
984	2263	34
985	2264	32
986	2266	29
987	2267	27
988	2269	25
989	2270	22
990	2272	20
991	2274	18
992	2275	16
993	2277	13
994	2278	11
995	2280	9
996	2283	6
997	2285	4
998	2286	2
999	2288	0
